X,0.04528395061728399 -0.09659259259259279 -0.8475925925925916 0.46028395061728355,-0.07298765432098767 1.1452592592592596 -4.927962962962969 4.599790123456799,-0.07807407407407457 1.2215555555555637 -5.298000000000038 5.1783703703704225,-0.19925925925925875 3.5846666666666547 -20.385555555555467 36.686518518518284,0.592049382716047 -15.406740740740666 129.7652592592585 -354.2199506172814,-0.291358024691337 9.770370370369706 -107.42962962962268 384.3086419752849,-0.20740740740740787 7.000000000000011 -77.14444444444447 274.64814814814815,0.44938271604944074 -17.629629629631975 229.2481481481795 -989.672839506311
0.557,-0.033967418395999927,2.1976173918640054,2.592878881228033,26.40946959057981,-286.61831583792986,327.4512367091799,233.8145937896,-867.3735387109214
0.558,-0.034880488113382624,2.193898337899462,2.5888701179224034,26.392895145238327,-286.50517705650316,327.3544293747552,233.74506095454814,-867.1635285868275
0.559,-0.03579359940528387,2.1901813300907707,2.584863536335885,26.376327202110183,-286.3920671063766,327.2576406056046,233.6755414250963,-866.9535522174597
0.56,-0.036706751999999954,2.1864663680000054,2.5808591360000332,26.35976575999981,-286.27898598399787,327.16087039997996,233.60603519999998,-866.7436096001213
0.561,-0.0376199456258271,2.18275345118924,2.5768569164464035,26.343210817711665,-286.1659336858147,327.06411875613304,233.5365422780148,-866.5337007321164
0.562,-0.03853318001106165,2.179042579220549,2.572856877206551,26.32666237405018,-286.0529102082748,326.96738567231574,233.4670626578963,-866.3238256107484
0.563,-0.03944645488399984,2.175333751656006,2.5688590178120334,26.31012042781981,-285.9399155478259,326.87067114677996,233.3975963384,-866.1139842333213
0.564,-0.04035976997293811,2.1716269680576845,2.564863337794404,26.293584977825,-285.82694970091563,326.7739751777775,233.32814331828146,-865.9041765971385
0.565,-0.04127312500617264,2.1679222279876607,2.5608698366852183,26.277056022870184,-285.7140126639917,326.6772977635602,233.2587035962963,-865.6944026995039
0.566,-0.042186519711999826,2.164219531008006,2.5568785140160335,26.260533561759814,-285.60110443350186,326.58063890238,233.1892771712,-865.4846625377212
0.567,-0.0430999538187159,2.160518876680796,2.5528893693184034,26.24401759329833,-285.4882250058938,326.48399859248866,233.11986404174814,-865.274956109094
0.568,-0.04401342705461708,2.1568202645681045,2.5489024021238853,26.22750811629018,-285.3753743776153,326.38737683213805,233.0504642066963,-865.0652834109261
0.569,-0.044926939147999834,2.153123694232006,2.544917611964033,26.211005129539814,-285.26255254511386,326.29077361958,232.98107766479998,-864.8556444405211
0.57,-0.04584048982716027,2.1494291652345736,2.5409349983704033,26.194508631851665,-285.1497595048374,326.19418895306643,232.9117044148148,-864.6460391951828
0.571,-0.04675407882039484,2.1457366771378825,2.536954560874552,26.178018622030184,-285.0369952532335,326.09762283084916,232.8423444554963,-864.4364676722148
0.572,-0.047667705855999776,2.1420462295040057,2.5329762990080327,26.161535098879813,-284.9242597867499,326.00107525118005,232.77299778559998,-864.2269298689209
0.573,-0.04858137066227142,2.1383578218950183,2.529000212302403,26.145058061205,-284.8115531018343,325.9045462123109,232.70366440388148,-864.017425782605
0.574,-0.04949507296750599,2.1346714538729934,2.525026300289218,26.12858750781018,-284.6988751949344,325.8080357124936,232.6343443090963,-863.8079554105703
0.575,-0.050408812499999844,2.1309871250000056,2.521054562500033,26.112123437499815,-284.5862260624979,325.71154374998,232.5650375,-863.5985187501209
0.576,-0.0513225889880492,2.127304834838129,2.517084998466403,26.09566584907833,-284.4736057009725,325.615070323022,232.49574397534815,-863.3891157985604
0.577,-0.05223640215995051,2.123624582949438,2.513117607719885,26.079214741350185,-284.36101410680595,325.51861542987143,232.4264637338963,-863.1797465531924
0.578,-0.05315025174399979,2.119946368896006,2.5091523897920327,26.06277011311981,-284.2484512764459,325.42217906878005,232.3571967744,-862.9704110113208
0.579,-0.0540641374684937,2.116270192239907,2.5051893442144033,26.046331963191665,-284.1359172063401,325.3257612379998,232.28794309561482,-862.7611091702491
