X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.58,-0.05010666666666663,-0.7960799999999998,-4.115146666666668,-4.784040000000001,0.5597466666666665,27.217333333333322,-12.030666666666669,-16.89333333333333,10.919999999999993,-39.18133333333332
0.581,-0.05095799999999995,-0.7964059999999997,-4.1143360000000015,-4.7830780000000015,0.5598059999999999,27.21379999999999,-12.029800000000002,-16.891999999999996,10.918999999999993,-39.17859999999999
0.582,-0.05180933333333326,-0.7967319999999998,-4.113525333333334,-4.782116000000001,0.5598653333333332,27.210266666666655,-12.028933333333335,-16.890666666666664,10.917999999999994,-39.17586666666665
0.583,-0.05266066666666663,-0.7970579999999998,-4.112714666666668,-4.781154000000002,0.5599246666666665,27.20673333333332,-12.028066666666668,-16.88933333333333,10.916999999999993,-39.17313333333332
0.584,-0.05351199999999995,-0.7973839999999998,-4.111904000000001,-4.780192000000001,0.5599839999999999,27.20319999999999,-12.027200000000002,-16.887999999999998,10.915999999999993,-39.17039999999999
0.585,-0.054363333333333264,-0.7977099999999998,-4.111093333333335,-4.779230000000001,0.5600433333333332,27.199666666666655,-12.026333333333335,-16.886666666666663,10.914999999999994,-39.167666666666655
0.586,-0.055214666666666634,-0.7980359999999997,-4.110282666666668,-4.7782680000000015,0.5601026666666665,27.19613333333332,-12.025466666666668,-16.88533333333333,10.913999999999993,-39.164933333333316
0.587,-0.05606599999999995,-0.7983619999999998,-4.109472000000001,-4.777306000000001,0.5601619999999998,27.192599999999988,-12.024600000000001,-16.883999999999997,10.912999999999993,-39.162199999999984
0.588,-0.056917333333333264,-0.7986879999999998,-4.108661333333335,-4.776344000000002,0.5602213333333332,27.189066666666655,-12.023733333333334,-16.882666666666665,10.911999999999994,-39.15946666666665
0.589,-0.05776866666666658,-0.7990139999999998,-4.107850666666668,-4.775382000000001,0.5602806666666665,27.18553333333332,-12.022866666666669,-16.88133333333333,10.910999999999994,-39.15673333333332
0.59,-0.058620000000000005,-0.7993399999999998,-4.107040000000001,-4.774420000000001,0.5603399999999998,27.181999999999988,-12.022000000000002,-16.88,10.909999999999993,-39.15399999999998
0.591,-0.05947133333333332,-0.7996659999999998,-4.106229333333334,-4.7734580000000015,0.5603993333333332,27.178466666666655,-12.021133333333335,-16.878666666666664,10.908999999999994,-39.15126666666665
0.592,-0.060322666666666636,-0.7999919999999998,-4.105418666666668,-4.772496000000001,0.5604586666666665,27.17493333333332,-12.020266666666668,-16.877333333333333,10.907999999999994,-39.14853333333332
0.593,-0.06117399999999995,-0.8003179999999998,-4.104608000000002,-4.771534000000001,0.5605179999999998,27.17139999999999,-12.019400000000001,-16.875999999999998,10.906999999999993,-39.14579999999999
0.594,-0.062025333333333266,-0.8006439999999998,-4.103797333333334,-4.770572000000001,0.5605773333333333,27.167866666666654,-12.018533333333336,-16.874666666666663,10.905999999999993,-39.143066666666655
0.595,-0.06287666666666658,-0.8009699999999997,-4.102986666666668,-4.769610000000001,0.5606366666666666,27.164333333333325,-12.017666666666669,-16.87333333333333,10.904999999999994,-39.14033333333332
0.596,-0.063728,-0.8012959999999998,-4.102176000000001,-4.7686480000000016,0.5606959999999999,27.160799999999988,-12.016800000000002,-16.871999999999996,10.903999999999993,-39.137599999999985
0.597,-0.06457933333333332,-0.8016219999999998,-4.101365333333335,-4.767686000000001,0.5607553333333333,27.157266666666658,-12.015933333333335,-16.870666666666665,10.902999999999993,-39.13486666666665
0.598,-0.06543066666666664,-0.8019479999999998,-4.1005546666666675,-4.766724000000002,0.5608146666666666,27.15373333333332,-12.015066666666668,-16.86933333333333,10.901999999999994,-39.13213333333332
0.599,-0.06628199999999995,-0.8022739999999998,-4.099744000000001,-4.765762000000001,0.5608739999999999,27.15019999999999,-12.014200000000002,-16.868,10.900999999999993,-39.12939999999998
0.6,-0.06713333333333327,-0.8025999999999998,-4.098933333333335,-4.764800000000001,0.5609333333333332,27.146666666666654,-12.013333333333335,-16.866666666666664,10.899999999999993,-39.12666666666665
0.601,-0.06798466666666658,-0.8029259999999998,-4.098122666666668,-4.763838000000002,0.5609926666666666,27.143133333333324,-12.012466666666668,-16.865333333333332,10.898999999999994,-39.12393333333332
0.602,-0.06883600000000001,-0.8032519999999999,-4.097312000000001,-4.762876000000001,0.5610519999999999,27.13959999999999,-12.011600000000001,-16.863999999999997,10.897999999999993,-39.12119999999999
0.603,-0.06968733333333332,-0.8035779999999998,-4.096501333333334,-4.761914000000001,0.5611113333333332,27.136066666666657,-12.010733333333334,-16.862666666666666,10.896999999999993,-39.11846666666665
0.604,-0.07053866666666664,-0.8039039999999997,-4.095690666666668,-4.760952000000001,0.5611706666666666,27.132533333333324,-12.00986666666667,-16.86133333333333,10.895999999999994,-39.11573333333332
0.605,-0.07138999999999995,-0.8042299999999998,-4.094880000000002,-4.759990000000001,0.5612299999999999,27.12899999999999,-12.009000000000002,-16.86,10.894999999999992,-39.112999999999985
0.606,-0.07224133333333327,-0.8045559999999998,-4.0940693333333344,-4.759028000000002,0.5612893333333332,27.125466666666657,-12.008133333333335,-16.858666666666664,10.893999999999993,-39.110266666666654
0.607,-0.07309266666666658,-0.8048819999999998,-4.093258666666668,-4.758066000000001,0.5613486666666665,27.121933333333324,-12.007266666666668,-16.85733333333333,10.892999999999994,-39.10753333333332
0.608,-0.07394400000000001,-0.8052079999999998,-4.092448000000001,-4.757104000000002,0.5614079999999999,27.11839999999999,-12.006400000000001,-16.855999999999998,10.891999999999994,-39.10479999999998
0.609,-0.07479533333333332,-0.8055339999999998,-4.091637333333335,-4.756142000000001,0.5614673333333332,27.114866666666657,-12.005533333333336,-16.854666666666663,10.890999999999993,-39.10206666666665
0.61,-0.07564666666666664,-0.8058599999999998,-4.0908266666666675,-4.755180000000001,0.5615266666666665,27.111333333333324,-12.004666666666669,-16.85333333333333,10.889999999999993,-39.09933333333332
0.611,-0.07649799999999995,-0.8061859999999998,-4.090016000000001,-4.754218000000002,0.5615859999999999,27.10779999999999,-12.003800000000002,-16.851999999999997,10.888999999999994,-39.09659999999999
0.612,-0.07734933333333327,-0.8065119999999998,-4.089205333333335,-4.753256000000001,0.5616453333333332,27.104266666666657,-12.002933333333335,-16.850666666666665,10.887999999999993,-39.09386666666665
0.613,-0.07820066666666659,-0.8068379999999998,-4.088394666666668,-4.752294000000001,0.5617046666666665,27.100733333333324,-12.002066666666668,-16.84933333333333,10.886999999999993,-39.09113333333332
