X,-5.66133211400731E-4 0.016951623228167456 -0.20596936442616737 1.2216478433166404 -3.270455509831012 2.762446410608357 -0.6859631153788236,0.002539734796524242 -0.09020082304524431 1.2732002743481132 -9.181068815727254 35.78078765431382 -70.7977079560918 53.01449474164679,-0.006388172534686843 0.298163145862473 -5.590128486521588 53.76625781140821 -279.5104917243342 744.8637177425569 -795.9848529202077,0.006523639689045948 -0.379706995883289 8.984079561007885 -110.33480566944804 740.0739884745915 -2566.0235220755426 3589.189373557931,-9.741197988591336E-4 0.08140521262321816 -2.684308642062188 45.098434614864175 -408.90798039382037 1900.5398856366835 -3540.8050114981856
1.729,-0.9660351376163018,0.16760318232176274,-111.31278863988518,869.2456439410121,-1266.8327854792064
1.73,-0.9671790562167614,0.1607316450952183,-111.15521029994966,868.4189718672224,-1265.9939619139527
1.731,-0.968322629091476,0.15387343848382073,-110.99780449615878,867.5929197603059,-1265.155576281225
1.732,-0.9694658547711056,0.1470285456520557,-110.84057108848401,866.7674872672137,-1264.3176284078986
1.733,-0.9706087317883446,0.14019694977890396,-110.68350993697516,865.9426740350409,-1263.4801181208945
1.734,-0.9717512586779119,0.13337863405785555,-110.52662090176113,865.1184797110232,-1262.6430452471827
1.735,-0.972893433976569,0.1265735816970377,-110.36990384305045,864.2949039425416,-1261.8064096137819
1.736,-0.9740352562230946,0.11978177591904426,-110.21335862113028,863.4719463771221,-1260.9702110477606
1.737,-0.9751767239583004,0.11300319996106367,-110.05698509636704,862.6496066624322,-1260.134449376234
1.738,-0.9763178357250238,0.10623783707469414,-109.90078312920582,861.8278844462843,-1259.2991244263653
1.739,-0.9774585900681277,0.09948567052618529,-109.74475258017083,861.006779376633,-1258.4642360253697
1.74,-0.9785989855344944,0.09274668359619653,-109.5888933098654,860.1862911015792,-1257.6297840005068
1.741,-0.9797390206730313,0.086020859579925,-109.4332051789712,859.3664192693641,-1256.795768179088
1.742,-0.9808786940346682,0.07930818178700605,-109.27768804824927,858.5471635283725,-1255.9621883884706
1.743,-0.9820180041723529,0.07260863354168379,-109.1223417785393,857.7285235271365,-1255.1290444560614
1.744,-0.9831569496410483,0.06592219818254108,-108.96716623075974,856.9104989143284,-1254.296336209317
1.745,-0.9842955289977399,0.0592488590626985,-108.81216126590812,856.0930893387626,-1253.4640634757397
1.746,-0.9854337408014221,0.05258859954971484,-108.65732674506069,855.2762944493988,-1252.6322260828829
1.747,-0.9865715836131118,0.04594140302565819,-108.50266252937195,854.4601138953417,-1251.8008238583475
1.748,-0.9877090559958314,0.03930725288690695,-108.34816848007563,853.644547325835,-1250.9698566297816
1.749,-0.9888461565146175,0.03268613254441988,-108.19384445848345,852.8295943902685,-1250.1393242248828
1.75,-0.9899828837365178,0.0260780254235371,-108.03969032598695,852.015254738174,-1249.3092264713982
1.751,-0.9911192362305862,0.019482914963994347,-107.88570594405519,851.2015280192286,-1248.4795631971224
1.752,-0.9922552125678875,0.012900784619965577,-107.73189117423613,850.3884138832477,-1247.6503342298965
1.753,-0.993390811321493,0.0063316178600061335,-107.57824587815651,849.5759119801955,-1246.821539397613
1.754,-0.994526031066474,-2.2460183286199253E-4,-107.42476991752153,848.7640219601744,-1245.9931785282115
1.755,-0.99566087037991,-0.006767890961292267,-107.27146315411517,847.9527434734341,-1245.1652514496795
1.756,-0.9967953278408835,-0.013298266013542559,-107.11832544979893,847.1420761703616,-1244.3377579900534
1.757,-0.9979294020304726,-0.019815743463475144,-106.9653566665138,846.3320197014932,-1243.5106979774187
1.758,-0.9990630915317628,-0.026320339770613543,-106.81255666627874,845.5225737175028,-1242.6840712399076
1.759,-1.000196394929827,-0.03281207138004305,-106.65992531119116,844.713737869211,-1241.8578776057016
1.76,-1.0013293108117458,-0.039290954722623894,-106.5074624634268,843.9055118075776,-1241.0321169030299
1.761,-1.0024618377665946,-0.04575700621476386,-106.35516798523963,843.0978951837092,-1240.2067889601726
1.762,-1.0035939743854345,-0.05221024225853199,-106.20304173896261,842.2908876488509,-1239.3818936054536
1.763,-1.004725719261327,-0.05865067924171541,-106.05108358700613,841.4844888543926,-1238.5574306672493
1.764,-1.0058570709893275,-0.06507833353780512,-105.89929339185915,840.6786984518671,-1237.7333999739817
1.765,-1.0069880281664694,-0.07149322150589654,-105.74767101608904,839.8735160929505,-1236.909801354123
