X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.362,-0.6343247422680413,-0.934130374479889,-3.7145768194070086,-5.608641304347827,-0.6304305555555536
0.363,-0.6356288659793814,-0.9348085991678224,-3.712938005390836,-5.606027173913045,-0.629812499999998
0.364,-0.6369329896907217,-0.9354868238557559,-3.7112991913746636,-5.603413043478262,-0.6291944444444425
0.365,-0.6382371134020619,-0.9361650485436893,-3.709660377358491,-5.600798913043479,-0.6285763888888869
0.366,-0.6395412371134022,-0.9368432732316228,-3.7080215633423186,-5.598184782608697,-0.6279583333333314
0.367,-0.6408453608247423,-0.9375214979195562,-3.706382749326146,-5.595570652173914,-0.6273402777777758
0.368,-0.6421494845360824,-0.9381997226074896,-3.7047439353099736,-5.592956521739131,-0.6267222222222203
0.369,-0.6434536082474227,-0.938877947295423,-3.703105121293801,-5.590342391304349,-0.6261041666666647
0.37,-0.644757731958763,-0.9395561719833565,-3.7014663072776286,-5.587728260869566,-0.6254861111111092
0.371,-0.6460618556701031,-0.9402343966712898,-3.699827493261456,-5.585114130434784,-0.6248680555555536
0.372,-0.6473659793814434,-0.9409126213592234,-3.6981886792452836,-5.582500000000001,-0.624249999999998
0.373,-0.6486701030927835,-0.9415908460471567,-3.696549865229111,-5.579885869565218,-0.6236319444444425
0.374,-0.6499742268041238,-0.9422690707350901,-3.6949110512129386,-5.577271739130436,-0.623013888888887
0.375,-0.651278350515464,-0.9429472954230236,-3.693272237196766,-5.574657608695653,-0.6223958333333314
0.376,-0.6525824742268042,-0.943625520110957,-3.6916334231805936,-5.572043478260871,-0.6217777777777758
0.377,-0.6538865979381443,-0.9443037447988905,-3.689994609164421,-5.569429347826088,-0.6211597222222203
0.378,-0.6551907216494846,-0.9449819694868238,-3.6883557951482486,-5.566815217391305,-0.6205416666666648
0.379,-0.6564948453608248,-0.9456601941747573,-3.686716981132076,-5.564201086956523,-0.6199236111111092
0.38,-0.6577989690721651,-0.9463384188626907,-3.6850781671159036,-5.56158695652174,-0.6193055555555536
0.381,-0.6591030927835052,-0.9470166435506242,-3.683439353099731,-5.558972826086958,-0.6186874999999981
0.382,-0.6604072164948454,-0.9476948682385575,-3.6818005390835586,-5.556358695652175,-0.6180694444444425
0.383,-0.6617113402061856,-0.948373092926491,-3.680161725067386,-5.553744565217392,-0.617451388888887
0.384,-0.6630154639175259,-0.9490513176144244,-3.6785229110512137,-5.55113043478261,-0.6168333333333313
0.385,-0.664319587628866,-0.9497295423023578,-3.676884097035041,-5.548516304347827,-0.6162152777777758
0.386,-0.6656237113402063,-0.9504077669902913,-3.6752452830188687,-5.545902173913045,-0.6155972222222202
0.387,-0.6669278350515464,-0.9510859916782247,-3.673606469002696,-5.543288043478261,-0.6149791666666647
0.388,-0.6682319587628867,-0.9517642163661582,-3.6719676549865237,-5.540673913043479,-0.6143611111111091
0.389,-0.6695360824742269,-0.9524424410540915,-3.6703288409703507,-5.538059782608697,-0.6137430555555536
0.39,-0.6708402061855671,-0.953120665742025,-3.6686900269541782,-5.535445652173914,-0.613124999999998
0.391,-0.6721443298969073,-0.9537988904299584,-3.6670512129380057,-5.532831521739132,-0.6125069444444424
0.392,-0.6734484536082475,-0.9544771151178919,-3.6654123989218332,-5.530217391304349,-0.6118888888888869
0.393,-0.6747525773195877,-0.9551553398058252,-3.6637735849056607,-5.527603260869566,-0.6112708333333314
0.394,-0.6760567010309279,-0.9558335644937587,-3.6621347708894882,-5.524989130434784,-0.6106527777777758
