X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888865 4.422222222222219 -15.120888888888887,-1.1975555555555506 17.423888888888808 -61.74755555555524,1.4666666666666734 -29.200000000000124 140.7333333333339,0.15555555555555708 -2.322222222222254 3.722222222222367,-0.7777777777777752 19.61111111111105 -124.61111111111074,1.2444444444444551 -33.97777777777807 229.27777777777973
0.586,-0.07650887822222197,0.7631362622222237,-3.46144624622222,-12.632790707555555,-51.94839245422195,124.12578080000048,2.4148171555556823,-113.38608577777745,209.79413724444623
0.587,-0.07759258399999969,0.7611708100000014,-3.4610051859999977,-12.628721428,-51.93237329799973,124.09830120000049,2.4126774000001268,-113.36738699999967,209.7616192000018
0.588,-0.0786759395555553,0.7592061155555572,-3.4605640248888867,-12.624652750222221,-51.916356536888614,124.07082453333382,2.4105379555556823,-113.34868977777745,209.72910364444624
0.589,-0.07975894488888868,0.7572421788888903,-3.460122762888887,-12.620584674222222,-51.90034217088862,124.04335080000048,2.408398822222349,-113.32999411111078,209.69659057777957
0.59,-0.08084159999999974,0.7552790000000014,-3.459681399999998,-12.6165172,-51.88433019999973,124.0158800000005,2.4062600000001266,-113.31129999999968,209.66408000000177
0.591,-0.08192390488888857,0.7533165788888905,-3.45923993622222,-12.612450327555555,-51.86832062422195,123.98841213333381,2.4041214888890154,-113.29260744444412,209.6315719111129
0.592,-0.08300585955555528,0.7513549155555572,-3.4587983715555533,-12.60838405688889,-51.85231344355529,123.96094720000049,2.4019832888890154,-113.27391644444411,209.5990663111129
0.593,-0.08408746399999978,0.7493940100000014,-3.458356705999998,-12.604318388,-51.83630865799973,123.93348520000049,2.3998454000001264,-113.25522699999966,209.56656320000178
0.594,-0.08516871822222205,0.7474338622222236,-3.4579149395555535,-12.60025332088889,-51.82030626755528,123.90602613333382,2.397707822222349,-113.23653911111077,209.53406257777957
0.595,-0.08624962222222199,0.7454744722222237,-3.45747307222222,-12.596188855555555,-51.80430627222195,123.87857000000048,2.3955705555556825,-113.21785277777745,209.50156444444622
0.596,-0.0873301759999997,0.7435158400000015,-3.4570311039999977,-12.592124992,-51.78830867199973,123.85111680000048,2.393433600000127,-113.19916799999967,209.4690688000018
0.597,-0.08841037955555542,0.7415579655555571,-3.4565890348888866,-12.588061730222222,-51.77231346688862,123.82366653333382,2.3912969555556822,-113.18048477777745,209.43657564444624
0.598,-0.08949023288888869,0.7396008488888905,-3.4561468648888867,-12.583999070222223,-51.75632065688862,123.79621920000048,2.3891606222223487,-113.16180311111079,209.40408497777958
0.599,-0.09056973599999973,0.7376444900000014,-3.455704593999998,-12.579937012,-51.74033024199973,123.76877480000049,2.3870246000001263,-113.14312299999966,209.37159680000178
0.6,-0.09164888888888867,0.7356888888888904,-3.45526222222222,-12.575875555555555,-51.72434222222195,123.74133333333381,2.384888888889015,-113.12444444444411,209.33911111111289
0.601,-0.09272769155555538,0.733734045555557,-3.4548197495555533,-12.57181470088889,-51.70835659755529,123.71389480000049,2.3827534888890156,-113.10576744444411,209.30662791111288
0.602,-0.09380614399999976,0.7317799600000015,-3.4543771759999977,-12.567754447999999,-51.69237336799973,123.68645920000048,2.3806184000001265,-113.08709199999967,209.27414720000178
0.603,-0.09488424622222202,0.7298266322222235,-3.4539345015555534,-12.563694796888889,-51.67639253355529,123.65902653333382,2.3784836222223484,-113.06841811111079,209.24166897777957
0.604,-0.09596199822222196,0.7278740622222237,-3.4534917262222202,-12.559635747555555,-51.66041409422195,123.63159680000048,2.376349155555682,-113.04974577777745,209.20919324444623
0.605,-0.09703939999999978,0.7259222500000013,-3.453048849999998,-12.5555773,-51.64443804999973,123.60417000000048,2.3742150000001265,-113.03107499999967,209.17672000000178
0.606,-0.09811645155555537,0.723971195555557,-3.4526058728888867,-12.551519454222221,-51.62846440088862,123.57674613333381,2.3720811555556818,-113.01240577777745,209.14424924444623
0.607,-0.09919315288888864,0.7220208988888903,-3.4521627948888867,-12.547462210222221,-51.61249314688862,123.54932520000048,2.369947622222348,-112.99373811111079,209.11178097777957
0.608,-0.10026950399999979,0.7200713600000015,-3.451719615999998,-12.543405568,-51.59652428799973,123.52190720000048,2.3678144000001264,-112.97507199999967,209.0793152000018
0.609,-0.10134550488888872,0.7181225788888903,-3.45127633622222,-12.539349527555556,-51.580557824221955,123.49449213333381,2.365681488889015,-112.95640744444411,209.0468519111129
0.61,-0.10242115555555531,0.716174555555557,-3.4508329555555535,-12.53529408888889,-51.564593755555286,123.46708000000048,2.363548888889015,-112.93774444444412,209.0143911111129
0.611,-0.10349645599999968,0.7142272900000015,-3.450389473999998,-12.531239251999999,-51.54863208199973,123.43967080000048,2.361416600000126,-112.91908299999967,208.98193280000177
0.612,-0.10457140622222205,0.7122807822222237,-3.4499458915555534,-12.52718501688889,-51.532672803555286,123.41226453333381,2.359284622222348,-112.90042311111078,208.94947697777957
0.613,-0.10564600622222198,0.7103350322222237,-3.44950220822222,-12.523131383555555,-51.516715920221955,123.38486120000049,2.357152955555682,-112.88176477777745,208.91702364444623
0.614,-0.10672025599999968,0.7083900400000016,-3.4490584239999977,-12.519078352,-51.50076143199973,123.35746080000048,2.355021600000126,-112.86310799999967,208.88457280000176
0.615,-0.10779415555555538,0.7064458055555569,-3.4486145388888865,-12.515025922222222,-51.48480933888862,123.33006333333381,2.352890555555682,-112.84445277777745,208.85212444444622
0.616,-0.10886770488888864,0.7045023288888903,-3.448170552888887,-12.510974094222222,-51.46885964088862,123.30266880000048,2.350759822222348,-112.82579911111078,208.81967857777954
0.617,-0.10994090399999978,0.7025596100000016,-3.447726465999998,-12.506922868,-51.452912337999734,123.27527720000049,2.348629400000126,-112.80714699999967,208.78723520000176
0.618,-0.1110137528888887,0.7006176488888902,-3.44728227822222,-12.502872243555556,-51.436967430221955,123.24788853333382,2.3464992888890146,-112.78849644444412,208.7547943111129
0.619,-0.1120862515555553,0.698676445555557,-3.4468379895555534,-12.498822220888888,-51.421024917555286,123.22050280000047,2.344369488889015,-112.76984744444411,208.72235591111288
0.62,-0.11315839999999977,0.6967360000000014,-3.4463935999999977,-12.4947728,-51.40508479999973,123.19312000000048,2.3422400000001256,-112.75119999999967,208.6899200000018
0.621,-0.11423019822222202,0.6947963122222236,-3.4459491095555532,-12.49072398088889,-51.389147077555286,123.16574013333381,2.340110822222348,-112.73255411111079,208.65748657777957
